7553.7451 	WARNING 	Movie2 stim could not be imported and won't be available
8181.0869 	DATA 	Keypress: 5
8181.0874 	DATA 	Keypress: 5
8181.0878 	DATA 	Keypress: 5
8181.0883 	DATA 	Keypress: 5
8185.0834 	DATA 	Keypress: 5
8185.0838 	DATA 	Keypress: 5
8185.0842 	DATA 	Keypress: 5
8187.0628 	DATA 	Keypress: 5
8187.0632 	DATA 	Keypress: 5
8187.0839 	Level Condition: 2 	25
8187.0890 	Level image=tampico.jpg 	25
8189.0606 	Level injecting via pump at address 1 	25
8191.0767 	DATA 	Keypress: 5
8191.0771 	DATA 	Keypress: 5
8191.0774 	DATA 	Keypress: 5
8195.0792 	DATA 	Keypress: 5
8195.0796 	DATA 	Keypress: 5
8195.0799 	DATA 	Keypress: 5
8195.0803 	DATA 	Keypress: 5
8197.0627 	DATA 	Keypress: 5
8197.0768 	Level Condition: 0 	25
8197.0824 	Level image=bottled_water.jpg 	25
8199.0606 	Level injecting via pump at address 0 	25
8201.0768 	DATA 	Keypress: 5
8201.0772 	DATA 	Keypress: 5
8201.0776 	DATA 	Keypress: 5
8201.0780 	DATA 	Keypress: 5
8205.0817 	DATA 	Keypress: 5
8205.0821 	DATA 	Keypress: 5
8205.0825 	DATA 	Keypress: 5
8207.0633 	DATA 	Keypress: 5
8207.0637 	DATA 	Keypress: 5
8207.0847 	Level Condition: 0 	25
8207.0903 	Level image=bottled_water.jpg 	25
8209.0606 	Level injecting via pump at address 0 	25
8211.0764 	DATA 	Keypress: 5
8211.0768 	DATA 	Keypress: 5
8211.0793 	DATA 	Keypress: 5
8215.0791 	DATA 	Keypress: 5
8215.1136 	DATA 	Keypress: 5
8215.1140 	DATA 	Keypress: 5
8215.1144 	DATA 	Keypress: 5
8217.0626 	DATA 	Keypress: 5
8217.0630 	DATA 	Keypress: 5
8217.0887 	Level Condition: 3 	25
8217.0926 	Level image=tampico.jpg 	25
8219.0606 	Level injecting via pump at address 0 	25
8221.0751 	DATA 	Keypress: 5
8221.0754 	DATA 	Keypress: 5
8221.0757 	DATA 	Keypress: 5
8225.0783 	DATA 	Keypress: 5
8225.0787 	DATA 	Keypress: 5
8225.0789 	DATA 	Keypress: 5
8225.0824 	DATA 	Keypress: 5
8227.0627 	DATA 	Keypress: 5
8227.0791 	Level Condition: 1 	25
8227.0865 	Level image=bottled_water.jpg 	25
8229.0606 	Level injecting via pump at address 1 	25
8231.0903 	DATA 	Keypress: 5
8231.0908 	DATA 	Keypress: 5
8231.0912 	DATA 	Keypress: 5
8231.0920 	DATA 	Keypress: 5
8235.0800 	DATA 	Keypress: 5
8235.0805 	DATA 	Keypress: 5
8235.0832 	DATA 	Keypress: 5
8237.0635 	DATA 	Keypress: 5
8237.0640 	DATA 	Keypress: 5
8237.0852 	Level Condition: 3 	25
8237.0893 	Level image=tampico.jpg 	25
8239.0606 	Level injecting via pump at address 0 	25
8241.0760 	DATA 	Keypress: 5
8241.0764 	DATA 	Keypress: 5
8241.0767 	DATA 	Keypress: 5
8245.0868 	DATA 	Keypress: 5
8245.0872 	DATA 	Keypress: 5
8245.0876 	DATA 	Keypress: 5
8245.0880 	DATA 	Keypress: 5
8247.0628 	DATA 	Keypress: 5
8247.0911 	Level Condition: 2 	25
8247.0945 	Level image=tampico.jpg 	25
8249.0606 	Level injecting via pump at address 1 	25
8251.0763 	DATA 	Keypress: 5
8251.0768 	DATA 	Keypress: 5
8251.0770 	DATA 	Keypress: 5
8251.0775 	DATA 	Keypress: 5
8255.0802 	DATA 	Keypress: 5
8255.0807 	DATA 	Keypress: 5
8255.0812 	DATA 	Keypress: 5
8257.0628 	DATA 	Keypress: 5
8257.0632 	DATA 	Keypress: 5
8257.0781 	Level Condition: 0 	25
8257.0842 	Level image=bottled_water.jpg 	25
8259.0606 	Level injecting via pump at address 0 	25
8261.0757 	DATA 	Keypress: 5
8261.0761 	DATA 	Keypress: 5
8261.0764 	DATA 	Keypress: 5
8261.0769 	DATA 	Keypress: 5
8265.0788 	DATA 	Keypress: 5
8265.0951 	DATA 	Keypress: 5
8265.0958 	DATA 	Keypress: 5
8267.0627 	DATA 	Keypress: 5
8267.0631 	DATA 	Keypress: 5
8267.0797 	Level Condition: 3 	25
8267.0833 	Level image=tampico.jpg 	25
8269.0606 	Level injecting via pump at address 0 	25
8271.0757 	DATA 	Keypress: 5
8271.0760 	DATA 	Keypress: 5
8271.0766 	DATA 	Keypress: 5
8275.0787 	DATA 	Keypress: 5
8275.0817 	DATA 	Keypress: 5
8275.0821 	DATA 	Keypress: 5
8275.0824 	DATA 	Keypress: 5
8277.0638 	DATA 	Keypress: 5
8277.0821 	Level Condition: 0 	25
8277.0882 	Level image=bottled_water.jpg 	25
8279.0605 	Level injecting via pump at address 0 	25
8281.0948 	DATA 	Keypress: 5
8281.0955 	DATA 	Keypress: 5
8281.0959 	DATA 	Keypress: 5
8281.0965 	DATA 	Keypress: 5
8285.0785 	DATA 	Keypress: 5
8285.0790 	DATA 	Keypress: 5
8285.0793 	DATA 	Keypress: 5
8287.0628 	DATA 	Keypress: 5
8287.0632 	DATA 	Keypress: 5
8287.0806 	Level Condition: 2 	25
8287.0846 	Level image=tampico.jpg 	25
